Planet Name,Host Name,Number of Stars,Number of Planets,Number of Moons,Circumbinary Flag,Discovery Method,Discovery Year,Discovery Facility,Discovery Telescope,Discovery Instrument,Controversial Flag,Orbital Period [days],Orbital Period Limit Flag,Planet Radius [Earth Radius],Planet Radius Limit Flag,Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,Planet Density [g/cm**3],Planet Density Limit Flag,Stellar Effective Temperature [K],Stellar Effective Temperature Limit Flag,Stellar Radius [Solar Radius],Stellar Radius Limit Flag,Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Mass Limit Flag,Stellar Luminosity [log(Solar)],Stellar Luminosity Limit Flag,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Limit Flag,Galactic Latitude [deg],Galactic Longitude [deg],Ecliptic Latitude [deg],Ecliptic Longitude [deg],Total Proper Motion [mas/yr],Total Proper Motion Upper Unc [mas/yr],Total Proper Motion Lower Unc [mas/yr],Proper Motion (RA) [mas/yr],Proper Motion (RA) [mas/yr] Upper Unc,Proper Motion (RA) [mas/yr] Lower Unc,Proper Motion (Dec) [mas/yr],Proper Motion (Dec) [mas/yr] Upper Unc,Proper Motion (Dec) [mas/yr] Lower Unc,Distance [pc],Distance [pc] Upper Unc,Distance [pc] Lower Unc,B (Johnson) Magnitude,B (Johnson) Magnitude Upper Unc,B (Johnson) Magnitude Lower Unc,V (Johnson) Magnitude,V (Johnson) Magnitude Upper Unc,V (Johnson) Magnitude Lower Unc,J (2MASS) Magnitude,J (2MASS) Magnitude Upper Unc,J (2MASS) Magnitude Lower Unc,H (2MASS) Magnitude,H (2MASS) Magnitude Upper Unc,H (2MASS) Magnitude Lower Unc,Ks (2MASS) Magnitude,Ks (2MASS) Magnitude Upper Unc,Ks (2MASS) Magnitude Lower Unc,Gaia Magnitude,Gaia Magnitude Upper Unc,Gaia Magnitude Lower Unc,TESS Magnitude,TESS Magnitude Upper Unc,TESS Magnitude Lower Unc,Number of Photometry Time Series,Number of Radial Velocity Time Series,Number of Stellar Spectra Measurements,Number of Emission Spectroscopy Measurements,Number of Transmission Spectroscopy Measurements
4 UMa b,4 UMa,1,1,0,0,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,0,270.27,0.0,12.6,0.0,2511.48007,0.0,6.9,0.0,4415.0,0.0,18.11,0.0,1.23,0.15,-0.15,0.0,2.062,0.0,1.8,0.0,35.95654,151.35882,44.02809,112.80905,66.6571379,0.3031445,-0.3031445,-61.2227,0.310392,-0.310392,26.362,0.260603,-0.260603,73.4603,1.18605,-1.18605,5.77,0.016,-0.016,4.5801,0.023,-0.023,2.619,0.29,-0.29,2.021,0.186,-0.186,1.734,0.218,-0.218,4.23773,0.0047288,-0.0047288,3.5681,0.0077,-0.0077,1,0,0,0,0
42 Dra b,42 Dra,2,1,0,0,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,0,479.1,0.0,13.0,0.0,1233.13,0.0,3.08,0.0,4200.0,0.0,22.03,0.0,0.98,0.05,-0.05,0.0,2.155,0.0,1.71,0.0,27.12504,95.41912,87.18291,342.26846,108.2005422,0.3427786,-0.3427786,105.248,0.342127,-0.342127,-25.1041,0.354036,-0.354036,90.6545,1.3227,-1.3227,6.005,0.016,-0.016,4.8262,0.023,-0.023,2.949,0.234,-0.234,2.197,0.196,-0.196,2.085,0.216,-0.216,4.43216,0.006238,-0.006238,3.7535,0.0087,-0.0087,1,1,0,0,0
47 UMa b,47 UMa,1,3,0,0,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,1078.0,0.0,13.2,0.0,804.08,0.0,1.92,0.0,5872.0,0.0,1.21,0.0,1.06,0.13,-0.14,0.0,0.198,0.0,4.3,0.0,63.3677,175.78305,31.06122,149.06831,322.3708569,0.2031388,-0.2031388,-317.642,0.201582,-0.201582,55.0139,0.249541,-0.249541,13.7967,0.0289,-0.0289,5.646,0.021,-0.021,5.03352,0.023,-0.023,3.96,0.296,-0.296,3.736,0.224,-0.224,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294,4.4698,0.0073,-0.0073,1,9,3,0,0
47 UMa c,47 UMa,1,3,0,0,Radial Velocity,2001,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,2391.0,0.0,14.2,0.0,171.621,0.0,0.329,0.0,5872.0,0.0,1.21,0.0,1.06,0.13,-0.14,0.0,0.198,0.0,4.3,0.0,63.3677,175.78305,31.06122,149.06831,322.3708569,0.2031388,-0.2031388,-317.642,0.201582,-0.201582,55.0139,0.249541,-0.249541,13.7967,0.0289,-0.0289,5.646,0.021,-0.021,5.03352,0.023,-0.023,3.96,0.296,-0.296,3.736,0.224,-0.224,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294,4.4698,0.0073,-0.0073,1,9,3,0,0
47 UMa d,47 UMa,1,3,0,0,Radial Velocity,2009,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,14002.0,0.0,13.5,0.0,521.22,0.0,1.16,0.0,5872.0,0.0,1.21,0.0,1.06,0.13,-0.14,0.0,0.198,0.0,4.3,0.0,63.3677,175.78305,31.06122,149.06831,322.3708569,0.2031388,-0.2031388,-317.642,0.201582,-0.201582,55.0139,0.249541,-0.249541,13.7967,0.0289,-0.0289,5.646,0.021,-0.021,5.03352,0.023,-0.023,3.96,0.296,-0.296,3.736,0.224,-0.224,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294,4.4698,0.0073,-0.0073,1,9,3,0,0
51 Eri b,51 Eri,3,1,0,0,Imaging,2015,Gemini Observatory,8.19 m Gemini South Telescope,Gemini Planet Imager,0,11688.0,0.0,13.4,0.0,635.66,0.0,1.45,0.0,7295.0,0.0,1.49,0.0,1.75,0.05,-0.05,0.0,0.85,0.0,4.31,0.0,-30.65764,198.61297,-24.30532,67.30974,77.7287954,0.1954289,-0.1954289,44.3523,0.227124,-0.227124,-63.8329,0.17812,-0.17812,29.7575,0.1213,-0.1203,5.486,0.023,-0.023,5.21149,0.023,-0.023,4.744,0.037,-0.037,4.77,0.076,-0.076,4.537,0.024,-0.024,5.15806,0.0023075,-0.0023075,4.9574,0.0065,-0.0065,1,0,0,0,0
51 Peg b,51 Peg,1,1,0,0,Radial Velocity,1995,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph,0,4.230785,0.0,14.3,0.0,146.2018,0.0,0.275,0.0,5758.0,0.0,1.18,0.0,1.03,0.17,-0.09,0.0,0.136,0.0,4.31,0.0,-34.7275,90.06374,25.18633,354.28512,216.4603396,0.2040787,-0.2040787,207.363,0.207151,-0.207151,62.094,0.166006,-0.166006,15.4614,0.0297,-0.0297,6.104,0.02,-0.02,5.45309,0.023,-0.023,4.655,0.296,-0.296,4.234,0.27,-0.27,3.911,0.021,-0.021,5.28647,0.002768,-0.002768,4.8576,0.0069,-0.0069,1,5,4,0,0
55 Cnc b,55 Cnc,2,5,0,0,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,14.6516,0.0,13.9,0.0,263.9785,0.0,0.54,0.0,5172.0,0.0,0.94,0.0,0.91,0.02,-0.02,0.0,-0.197,0.0,4.43,0.0,37.69663,196.79526,10.36555,127.72682,539.1329986,0.1295797,-0.1295797,-485.872,0.133857,-0.133857,-233.651,0.109171,-0.109171,12.5855,0.0124,-0.0123,6.816,0.019,-0.019,5.95084,0.023,-0.023,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,5.2058,0.0061,-0.0061,1,9,11,0,0
55 Cnc c,55 Cnc,2,5,0,0,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,44.3989,0.0,8.51,0.0,54.4738,0.0,0.486,0.0,5172.0,0.0,0.94,0.0,0.91,0.02,-0.02,0.0,-0.197,0.0,4.43,0.0,37.69663,196.79526,10.36555,127.72682,539.1329986,0.1295797,-0.1295797,-485.872,0.133857,-0.133857,-233.651,0.109171,-0.109171,12.5855,0.0124,-0.0123,6.816,0.019,-0.019,5.95084,0.023,-0.023,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,5.2058,0.0061,-0.0061,1,9,11,0,0
55 Cnc d,55 Cnc,2,5,0,0,Radial Velocity,2002,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,5574.2,0.0,13.0,0.0,1232.493,0.0,3.08,0.0,5172.0,0.0,0.94,0.0,0.91,0.02,-0.02,0.0,-0.197,0.0,4.43,0.0,37.69663,196.79526,10.36555,127.72682,539.1329986,0.1295797,-0.1295797,-485.872,0.133857,-0.133857,-233.651,0.109171,-0.109171,12.5855,0.0124,-0.0123,6.816,0.019,-0.019,5.95084,0.023,-0.023,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,5.2058,0.0061,-0.0061,1,9,11,0,0
55 Cnc e,55 Cnc,2,5,0,0,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,0.7365474,0.0,1.875,0.0,7.99,0.0,6.66,0.0,5172.0,0.0,0.94,0.0,0.91,0.02,-0.02,0.0,-0.197,0.0,4.43,0.0,37.69663,196.79526,10.36555,127.72682,539.1329986,0.1295797,-0.1295797,-485.872,0.133857,-0.133857,-233.651,0.109171,-0.109171,12.5855,0.0124,-0.0123,6.816,0.019,-0.019,5.95084,0.023,-0.023,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,5.2058,0.0061,-0.0061,1,9,11,3,40
55 Cnc f,55 Cnc,2,5,0,0,Radial Velocity,2007,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,259.88,0.0,7.59,0.0,44.812,0.0,0.563,0.0,5172.0,0.0,0.94,0.0,0.91,0.02,-0.02,0.0,-0.197,0.0,4.43,0.0,37.69663,196.79526,10.36555,127.72682,539.1329986,0.1295797,-0.1295797,-485.872,0.133857,-0.133857,-233.651,0.109171,-0.109171,12.5855,0.0124,-0.0123,6.816,0.019,-0.019,5.95084,0.023,-0.023,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,5.2058,0.0061,-0.0061,1,9,11,0,0
6 Lyn b,6 Lyn,1,1,0,0,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,0,919.86,0.0,13.4,0.0,597.83523,0.0,1.37,0.0,4941.0,0.0,4.94,0.0,1.32,0.2,-0.21,0.0,1.119,0.0,3.16,0.0,20.18918,156.97286,34.85376,94.93477,340.0415405,0.0713171,-0.0713171,-30.4214,0.0975645,-0.0975645,-338.678,0.0710659,-0.0710659,54.6599,0.2734,-0.2734,6.796,0.019,-0.019,5.87307,0.023,-0.023,4.272,0.254,-0.254,3.825,0.252,-0.252,3.701,0.3,-0.3,5.60686,0.001085,-0.001085,5.0436,0.0061,-0.0061,1,1,0,0,0
61 Vir b,61 Vir,1,3,0,0,Radial Velocity,2009,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,4.215,0.0,2.11,0.0,5.1,0.0,2.98,0.0,5577.0,0.0,0.96,0.0,0.94,0.03,-0.03,0.0,-0.095,0.0,4.34,0.0,44.08875,311.85177,-9.3038,205.00463,1508.8416272,0.3933829,-0.3933829,-1070.81,0.391373,-0.391373,-1063.0,0.395412,-0.395412,8.50332,0.01737,-0.0173,0.072,0.244,-0.244,4.6955,0.0462,-0.0462,3.334,0.2,-0.2,2.974,0.176,-0.176,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701,4.085,0.0082,-0.0082,1,6,9,0,0
61 Vir c,61 Vir,1,3,0,0,Radial Velocity,2009,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,38.021,0.0,4.46,0.0,18.2,0.0,1.13,0.0,5577.0,0.0,0.96,0.0,0.94,0.03,-0.03,0.0,-0.095,0.0,4.34,0.0,44.08875,311.85177,-9.3038,205.00463,1508.8416272,0.3933829,-0.3933829,-1070.81,0.391373,-0.391373,-1063.0,0.395412,-0.395412,8.50332,0.01737,-0.0173,0.072,0.244,-0.244,4.6955,0.0462,-0.0462,3.334,0.2,-0.2,2.974,0.176,-0.176,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701,4.085,0.0082,-0.0082,1,6,9,0,0
61 Vir d,61 Vir,1,3,0,0,Radial Velocity,2009,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,123.01,0.0,5.11,0.0,22.9,0.0,0.943,0.0,5577.0,0.0,0.96,0.0,0.94,0.03,-0.03,0.0,-0.095,0.0,4.34,0.0,44.08875,311.85177,-9.3038,205.00463,1508.8416272,0.3933829,-0.3933829,-1070.81,0.391373,-0.391373,-1063.0,0.395412,-0.395412,8.50332,0.01737,-0.0173,0.072,0.244,-0.244,4.6955,0.0462,-0.0462,3.334,0.2,-0.2,2.974,0.176,-0.176,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701,4.085,0.0082,-0.0082,1,6,9,0,0
7 CMa b,7 CMa,1,2,0,0,Radial Velocity,2011,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,0,735.1,0.0,13.4,0.0,587.9855,0.0,1.34,0.0,4826.0,0.0,4.87,0.0,1.34,0.11,-0.12,0.0,1.063,0.0,3.19,0.0,-11.79597,228.68876,-42.32234,101.73845,95.6229309,0.5996784,-0.5996784,61.9916,0.606915,-0.606915,-72.8065,0.594377,-0.594377,19.8101,0.1648,-0.1648,5.013,0.017,-0.017,3.95,0.03,-0.03,2.173,0.244,-0.244,1.679,0.234,-0.234,1.564,0.252,-0.252,3.67853,0.0041348,-0.0041348,3.0677,1.8692,-1.8692,1,1,0,0,0
7 CMa c,7 CMa,1,2,0,0,Radial Velocity,2019,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,996.0,0.0,13.9,0.0,276.5121,0.0,0.566,0.0,4826.0,0.0,4.87,0.0,1.34,0.11,-0.12,0.0,1.063,0.0,3.19,0.0,-11.79597,228.68876,-42.32234,101.73845,95.6229309,0.5996784,-0.5996784,61.9916,0.606915,-0.606915,-72.8065,0.594377,-0.594377,19.8101,0.1648,-0.1648,5.013,0.017,-0.017,3.95,0.03,-0.03,2.173,0.244,-0.244,1.679,0.234,-0.234,1.564,0.252,-0.252,3.67853,0.0041348,-0.0041348,3.0677,1.8692,-1.8692,1,1,0,0,0
70 Vir b,70 Vir,1,1,0,0,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,116.688,0.0,12.6,0.0,2380.45,0.0,6.54,0.0,5495.0,0.0,1.89,0.0,1.09,,,0.0,0.451,0.0,3.95,0.0,74.0991,337.65749,21.3381,194.97087,622.5685118,0.2600473,-0.2600473,-235.562,0.364791,-0.364791,-576.283,0.238095,-0.238095,17.9011,0.056,-0.0557,5.678,0.02,-0.02,4.96808,0.023,-0.023,3.798,0.286,-0.286,3.457,0.206,-0.206,3.5,0.294,-0.294,4.76178,0.0044158,-0.0044158,4.2943,0.0075,-0.0075,1,5,2,0,0
75 Cet b,75 Cet,2,2,0,0,Radial Velocity,2012,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,0,696.62,0.0,13.3,0.0,787.89662,0.0,1.84,0.0,4809.0,0.0,10.38,0.0,1.92,0.07,-0.08,0.0,1.714,0.0,2.69,0.0,-54.44177,169.94418,-15.16759,35.32138,38.5643962,0.1822653,-0.1822653,-23.6193,0.197124,-0.197124,-30.4851,0.172733,-0.172733,82.9613,0.72365,-0.72365,6.366,0.018,-0.018,5.3532,0.023,-0.023,3.931,0.262,-0.262,3.318,0.214,-0.214,3.207,0.272,-0.272,5.09343,0.0039324,-0.0039324,4.5054,0.0072,-0.0072,1,1,0,0,0
75 Cet c,75 Cet,2,2,0,0,Radial Velocity,2023,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,0,2051.62,0.0,13.9,0.0,289.85951,0.0,0.593,0.0,4809.0,0.0,10.38,0.0,1.92,0.07,-0.08,0.0,1.714,0.0,2.69,0.0,-54.44177,169.94418,-15.16759,35.32138,38.5643962,0.1822653,-0.1822653,-23.6193,0.197124,-0.197124,-30.4851,0.172733,-0.172733,82.9613,0.72365,-0.72365,6.366,0.018,-0.018,5.3532,0.023,-0.023,3.931,0.262,-0.262,3.318,0.214,-0.214,3.207,0.272,-0.272,5.09343,0.0039324,-0.0039324,4.5054,0.0072,-0.0072,1,1,0,0,0
8 UMi b,8 UMi,1,1,0,0,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,BOES Echelle Spectrograph,0,93.4,0.0,13.6,0.0,416.3573,0.0,0.91,0.0,4847.0,0.0,10.3,0.0,1.44,0.19,-0.19,0.0,1.725,0.0,2.57,0.0,39.66099,112.79492,73.34497,130.65518,13.2836055,0.0532098,-0.0532098,12.7947,0.0538529,-0.0538529,3.57069,0.044128,-0.044128,162.552,0.651,-0.646,7.834,0.019,-0.019,6.83295,0.023,-0.023,5.069,0.027,-0.027,4.749,0.036,-0.036,4.515,0.02,-0.02,6.55896,0.000237,-0.000237,5.96761,0.0064,-0.0064,1,0,0,0,0
81 Cet b,81 Cet,1,1,0,0,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,0,1005.57,0.0,13.1,0.0,1051.05854,0.0,2.57,0.0,4734.0,0.0,11.21,0.0,1.23,0.3,-0.25,0.0,1.76,0.0,2.41,0.0,-55.24995,174.48697,-17.84979,35.89019,60.3912853,0.1937107,-0.1937107,42.0657,0.190188,-0.190188,-43.3311,0.196973,-0.196973,101.26,1.222,-1.222,6.675,0.019,-0.019,5.64307,0.023,-0.023,3.94,0.266,-0.266,3.386,0.234,-0.234,3.266,0.258,-0.258,5.37588,0.0031065,-0.0031065,4.77853,0.0074,-0.0074,1,1,0,0,0
91 Aqr b,91 Aqr,3,1,0,0,Radial Velocity,2013,Lick Observatory,0.6 m Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,0,181.4,0.0,13.1,0.0,1017.0,0.0,2.49,0.0,4665.0,0.0,11.0,0.0,1.4,0.1,-0.1,0.0,1.692,0.0,2.52,0.0,-61.11327,67.07416,-4.00228,346.30621,368.7717896,0.4896693,-0.4896693,368.372,0.489722,-0.489722,-17.1669,0.464771,-0.464771,44.0304,0.51325,-0.51325,5.35,0.016,-0.016,4.23946,0.023,-0.023,2.263,0.246,-0.246,1.69,0.216,-0.216,1.597,0.236,-0.236,3.95311,0.008843,-0.008843,3.3221,1.9683,-1.9683,1,0,0,0,0
AB Aur b,AB Aur,1,1,0,0,Imaging,2022,Subaru Telescope,8.2 m Subaru Telescope,Subaru Coronagraphic Extreme Adaptive Opti,0,,,12.5,0.0,2860.45566,0.0,8.05,0.0,9770.0,0.0,2.96,0.0,2.4,0.2,-0.2,0.0,1.771,0.0,3.77,0.0,-7.98082,172.49916,7.88431,76.0841,24.429161,0.0684435,-0.0684435,3.92615,0.0967292,-0.0967292,-24.1116,0.0675325,-0.0675325,162.127,1.526,-1.498,7.193,0.133282,-0.133282,7.076,0.042,-0.042,5.936,0.018,-0.018,5.062,0.02,-0.02,4.23,0.016,-0.016,7.07854,0.001049,-0.001049,6.94321,0.0069,-0.0069,0,0,0,0,0
AB Pic b,AB Pic,1,1,0,0,Imaging,2005,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,0,,,12.3,0.0,4290.5,0.0,12.7,0.0,5285.0,0.0,1.0,0.0,0.9,0.1,-0.1,0.0,-0.226,0.0,4.53,0.0,-26.93081,266.94347,-81.21165,106.85953,47.297973,0.0630364,-0.0630364,14.3389,0.0623199,-0.0623199,45.0721,0.0631085,-0.0631085,50.0475,0.0735,-0.0733,10.148,0.094,-0.094,9.13,0.03,-0.03,7.576,0.024,-0.024,7.088,0.021,-0.021,6.981,0.024,-0.024,8.8378,0.001332,-0.001332,8.2763,0.0062,-0.0062,1,0,0,0,0
AF Lep b,AF Lep,1,1,0,0,Imaging,2023,Paranal Observatory,8.2 m ESO VLT UT3 Melipal Telescope,SPHERE,0,8030.0,0.0,13.1,0.0,1017.0509,0.0,2.49,0.0,6130.0,0.0,1.25,0.0,1.2,0.06,-0.06,0.0,0.29,0.0,4.4,0.0,-24.04116,214.37435,-35.05939,80.14319,52.1820484,0.0475663,-0.0475663,17.0595,0.0440946,-0.0440946,-49.3147,0.0479649,-0.0479649,26.8564,0.0189,-0.0188,6.854,0.145688,-0.145688,6.332,0.035,-0.035,5.268,0.027,-0.027,5.087,0.026,-0.026,4.926,0.021,-0.021,6.18644,0.0011395,-0.0011395,5.7932,0.0061,-0.0061,1,0,2,0,0
AU Mic b,AU Mic,1,3,0,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,0,8.4629991,0.0,3.957,0.0,20.12,0.0,1.32,0.0,3665.0,0.0,0.82,0.0,0.5,0.03,-0.03,0.0,-0.99,0.0,4.4,0.0,-36.80401,12.65304,-12.82465,305.30682,456.8630854,0.062801,-0.062801,281.424,0.0750541,-0.0750541,-359.895,0.0539548,-0.0539548,9.7221,0.004625,-0.004625,10.209,0.036,-0.036,8.81,0.1,-0.1,5.436,0.017,-0.017,4.831,0.016,-0.016,4.529,0.02,-0.02,7.84038,0.000731,-0.000731,6.755,0.032,-0.032,1,0,1,0,0
AU Mic c,AU Mic,1,3,0,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,0,18.858991,0.0,3.24,0.0,9.6,0.0,1.22,0.0,3665.0,0.0,0.82,0.0,0.5,0.03,-0.03,0.0,-0.99,0.0,4.4,0.0,-36.80401,12.65304,-12.82465,305.30682,456.8630854,0.062801,-0.062801,281.424,0.0750541,-0.0750541,-359.895,0.0539548,-0.0539548,9.7221,0.004625,-0.004625,10.209,0.036,-0.036,8.81,0.1,-0.1,5.436,0.017,-0.017,4.831,0.016,-0.016,4.529,0.02,-0.02,7.84038,0.000731,-0.000731,6.755,0.032,-0.032,1,0,1,0,0
AU Mic d,AU Mic,1,3,0,0,Transit Timing Variations,2023,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,12.73596,0.0,1.02,0.0,1.053,0.0,5.45,0.0,3678.0,0.0,0.74,0.0,0.51,0.03,-0.03,0.0,-1.038,0.0,4.4,0.0,-36.80401,12.65304,-12.82465,305.30682,456.8630854,0.062801,-0.062801,281.424,0.0750541,-0.0750541,-359.895,0.0539548,-0.0539548,9.7221,0.004625,-0.004625,10.209,0.036,-0.036,8.81,0.1,-0.1,5.436,0.017,-0.017,4.831,0.016,-0.016,4.529,0.02,-0.02,7.84038,0.000731,-0.000731,6.755,0.032,-0.032,1,0,1,0,0
BD+03 2562 b,BD+03 2562,1,1,0,0,Radial Velocity,2017,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,481.9,0.0,12.7,0.0,2034.112,0.0,5.46,0.0,4095.0,0.0,32.35,0.0,1.14,0.25,-0.25,0.0,2.7,0.0,1.89,0.0,61.57342,269.32522,1.56429,176.66835,17.9285781,0.0895909,-0.0895909,-17.5788,0.090383,-0.090383,-3.52416,0.0669285,-0.0669285,1070.63,63.875,-63.875,10.795,0.072,-0.072,9.577,0.008,-0.008,6.96,0.021,-0.021,6.186,0.042,-0.042,6.021,0.021,-0.021,8.9977,0.000292,-0.000292,8.2014,0.0067,-0.0067,0,0,0,0,0
BD+14 4559 b,BD+14 4559,1,1,0,0,Radial Velocity,2009,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,268.94,0.0,13.8,0.0,330.5432,0.0,0.691,0.0,4864.0,0.0,0.86,0.0,0.49,0.33,-0.33,0.0,-0.32,0.0,4.26,0.0,-22.63172,64.41837,29.21653,325.9764,233.993162,0.0573166,-0.0573166,233.993,0.0573166,-0.0573166,-0.27532,0.0559571,-0.0559571,49.352,0.0846,-0.0844,10.581,0.031,-0.031,9.78,0.03,-0.03,7.882,0.029,-0.029,7.455,0.018,-0.018,7.336,0.023,-0.023,9.35108,0.000253,-0.000253,8.7505,0.006,-0.006,1,1,0,0,0
BD+15 2375 b,BD+15 2375,1,1,0,0,Radial Velocity,2016,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,0,153.22,0.0,13.8,0.0,337.21763,0.0,0.705,0.0,4649.0,0.0,8.95,0.0,1.08,0.14,-0.14,0.0,1.57,0.0,2.61,0.0,70.27244,249.00212,11.99953,170.89104,30.7736087,0.0891412,-0.0891412,-28.4698,0.0908681,-0.0908681,-11.6827,0.0781032,-0.0781032,768.045,45.038,-45.038,11.387,0.119,-0.119,10.41,0.01,-0.01,8.372,0.021,-0.021,7.862,0.029,-0.029,7.718,0.017,-0.017,9.9918,0.000458,-0.000458,9.3605,0.0072,-0.0072,0,0,0,0,0
BD+15 2940 b,BD+15 2940,1,1,0,0,Radial Velocity,2013,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,137.48,0.0,13.7,0.0,352.78,0.0,0.754,0.0,4796.0,0.0,14.7,0.0,1.1,0.2,-0.2,0.0,2.01,0.0,2.8,0.0,44.78011,28.10432,35.31759,233.93894,44.5517499,0.0369642,-0.0369642,15.1368,0.0441026,-0.0441026,-41.9015,0.0359282,-0.0359282,426.42,6.44,-6.44,10.121,0.042,-0.042,9.01,0.03,-0.03,7.154,0.02,-0.02,6.664,0.018,-0.018,6.525,0.016,-0.016,8.7178,0.000291,-0.000291,8.1004,0.007,-0.007,1,0,0,0,0
BD+20 2457 b,BD+20 2457,1,2,0,0,Radial Velocity,2009,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,379.63,0.0,12.1,0.0,6807.63,0.0,21.1,0.0,4137.0,0.0,49.0,0.0,2.8,1.5,-1.5,0.0,3.17,0.0,1.51,0.0,53.95226,216.04472,8.58559,148.87814,46.8841645,0.0938947,-0.0938947,-36.0773,0.0944141,-0.0944141,-29.9425,0.0931356,-0.0931356,1539.71,189.925,-189.925,10.989,0.073,-0.073,9.743,0.008,-0.008,7.299,0.023,-0.023,6.606,0.021,-0.021,6.42,0.021,-0.021,9.22684,0.000442,-0.000442,8.4752,0.0063,-0.0063,0,1,0,0,0
BD+20 2457 c,BD+20 2457,1,2,0,0,Radial Velocity,2009,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,621.99,0.0,12.4,0.0,3963.17,0.0,11.4,0.0,4137.0,0.0,49.0,0.0,2.8,1.5,-1.5,0.0,3.17,0.0,1.51,0.0,53.95226,216.04472,8.58559,148.87814,46.8841645,0.0938947,-0.0938947,-36.0773,0.0944141,-0.0944141,-29.9425,0.0931356,-0.0931356,1539.71,189.925,-189.925,10.989,0.073,-0.073,9.743,0.008,-0.008,7.299,0.023,-0.023,6.606,0.021,-0.021,6.42,0.021,-0.021,9.22684,0.000442,-0.000442,8.4752,0.0063,-0.0063,0,1,0,0,0
